"exam_mode","official_part","official_number","question_text","question_type","option_a","option_b","option_c","option_d","option_e","correct_answer","accepted_answers","response_subtype","topic","subtopic","difficulty","points","source","explanation"
"rikz_russian_2026","A","1","Укажите слова, в которых на месте пропуска пишется буква А.","multi_select_five","предпол..гать","прик..снуться","оз..рённый","заг..реть","пл..вец","A,C","","","Орфография корня","Чередующиеся гласные лаг/лож, кас/кос, зар/зор, гар/гор, плав/плов","easy","2","original_authoring_qa_2026-07-10","Предполагать: лаг перед суффиксом -а-. Озарённый: в безударном корне зар/зор пишется а. Остальные формы: прикоснуться, загореть, пловец."
"rikz_russian_2026","A","2","Укажите слова, в которых на месте пропуска пишется буква И.","multi_select_five","зам..рать","расст..лить","бл..стательный","выб..ру","соч..тание","A,C","","","Орфография корня","Чередующиеся корни мер/мир, стел/стил, блест/блист, бер/бир","easy","2","original_authoring_qa_2026-07-10","Замирать и блистательный пишутся с и перед суффиксом -а-. Правильно: расстелить, выберу, сочетание."
"rikz_russian_2026","A","3","Укажите слова, в которых пишутся две одинаковые согласные подряд.","multi_select_five","искусственный","расчётливый","коллекционный","гостиница","поддержанный","A,C,E","","","Орфография согласных","Удвоенные согласные на стыке морфем и в заимствованных словах","medium","2","original_authoring_qa_2026-07-10","Удвоенные согласные есть в словах искусственный, коллекционный, поддержанный. В словах расчётливый и гостиница удвоения нет."
"rikz_russian_2026","A","4","Укажите слова, в которых на месте пропуска пишется буква Е.","multi_select_five","постро..нный","бор..шься","закле..нный","вид..мый","рассе..вший","A,B,C","","","Орфография форм","Суффиксы причастий и личные окончания глаголов","medium","2","original_authoring_qa_2026-07-10","Правильно: построенный, борешься, заклеенный. В остальных формах: видимый, рассеявший."
"rikz_russian_2026","A","5","Прочитайте предложение. Укажите позиции, в которых пишется частица НИ.

Как (1) старался Андрей закончить работу до темноты, он всё же (2) успел проверить расчёты, (3) разу не отвлёкся, (4) с кем не спорил и (5) отказался от помощи.","multi_select_five","(1)","(2)","(3)","(4)","(5)","A,C,D","","","НЕ и НИ","НИ в уступительных конструкциях и усилительном отрицании","medium","2","original_authoring_qa_2026-07-10","Пишется: как ни старался, ни разу, ни с кем. В остальных позициях: не успел, не отказался."
"rikz_russian_2026","A","6","Укажите варианты, в которых НЕ со словом пишется раздельно.","multi_select_five","далеко (не)простое решение","(не)законченная вовремя работа","(не)высокий, а низкий забор","(не)долюбливать соседа","(не)брежный почерк","A,B,C","","","НЕ со словами","Раздельное и слитное написание НЕ с прилагательными, причастиями и глаголами","medium","2","original_authoring_qa_2026-07-10","Раздельно: далеко не простое; не законченная вовремя работа, где зависимое слово обозначает время действия; не высокий, а низкий. Слитно: недолюбливать, небрежный."
"rikz_russian_2026","A","7","Укажите слова, которые пишутся через дефис.","multi_select_five","(по)весеннему","(пол)апельсина","(полу)остров","(железно)дорожный","(мало)известный","A,B","","","Дефисное написание","Наречия с по- и слова с пол-/полу-","easy","2","original_authoring_qa_2026-07-10","По-весеннему пишется через дефис по модели по-...-ему. Пол-апельсина пишется через дефис перед гласной. Остальные слова пишутся слитно."
"rikz_russian_2026","A","8","Укажите предложения, в которых сочетание в скобках пишется слитно.","multi_select_five","Он повторил (то)же правило, что и вчера.","Мы задержались, (за)то закончили отчёт.","Я пришёл, (что)бы обсудить результаты.","Мы действовали (по)тому плану, который утвердили утром.","В комнате было тихо, (от)того разговор слышался особенно отчётливо.","B,C,E","","","Слитное и раздельное написание","Союзы, местоименные сочетания и наречия-омонимы","medium","2","original_authoring_qa_2026-07-10","Слитно пишутся союзы зато, чтобы и наречие оттого со значением причины. Раздельно: то же правило, по тому плану."
"rikz_russian_2026","A","9","Укажите предложения, в которых на месте знака □ необходимо поставить тире.","multi_select_five","Главная цель экспедиции □ собрать образцы грунта.","Лес □ словно огромный зелёный шатёр.","Пятью пять □ двадцать пять.","Самое трудное □ это начать.","Его голос □ тихий и ровный.","A,C,D","","","Пунктуация","Тире между подлежащим и именной частью сказуемого","medium","2","original_authoring_qa_2026-07-10","Тире требуется в конструкциях цель — собрать, пятью пять — двадцать пять, самое трудное — это начать. Перед словно тире обычно не ставится; в E нейтральная норма не требует тире."
"rikz_russian_2026","A","10","Укажите предложения, в которых выделенную конструкцию необходимо обособить запятыми.","multi_select_five","*Озарённая утренним солнцем* площадь быстро наполнилась людьми.","Площадь *озарённая утренним солнцем* быстро наполнилась людьми.","*Смеясь* дети выбежали во двор.","Мы вошли в дом *построенный ещё до войны*.","Он отвечал *тихо и уверенно*.","B,C,D","","","Обособление","Причастные и деепричастные обороты","medium","2","original_authoring_qa_2026-07-10","Причастные обороты после определяемого слова в B и D обособляются. Деепричастие смеясь в C обособляется. В A определение перед существительным не обособляется. В E однородные наречия не обособляются."
