id,part,official_number,question_type,response_subtype,prompt,options,correct_answer,accepted_answers,primary_points,difficulty,topic,rule_tested,action_required,answer_pattern,partial_policy,normalization_policy,shared_context_id,explanation,qa_status,source_ref
A1,A,1,multi_select_five,letter_set_csv,"Укажите слова, в которых на месте пропуска пишется буква А.","{""A"":""предпол..гать"",""B"":""прик..снуться"",""C"":""оз..рённый"",""D"":""заг..реть"",""E"":""пл..вец""}","A,C",,2,easy,Орфография корня,"Чередующиеся гласные лаг/лож, кас/кос, зар/зор, гар/гор, плав/плов",Выбрать все слова с буквой А,"^[A-E](,[A-E]){1,4}$",one_error_half_credit,conservative,,"Предполагать: лаг перед суффиксом -а-. Озарённый: в безударном корне зар/зор пишется а. Остальные формы: прикоснуться, загореть, пловец.",passed,original_authoring_qa_2026-07-10
A2,A,2,multi_select_five,letter_set_csv,"Укажите слова, в которых на месте пропуска пишется буква И.","{""A"":""зам..рать"",""B"":""расст..лить"",""C"":""бл..стательный"",""D"":""выб..ру"",""E"":""соч..тание""}","A,C",,2,easy,Орфография корня,"Чередующиеся корни мер/мир, стел/стил, блест/блист, бер/бир",Выбрать все слова с буквой И,"^[A-E](,[A-E]){1,4}$",one_error_half_credit,conservative,,"Замирать и блистательный пишутся с и перед суффиксом -а-. Правильно: расстелить, выберу, сочетание.",passed,original_authoring_qa_2026-07-10
A3,A,3,multi_select_five,letter_set_csv,"Укажите слова, в которых пишутся две одинаковые согласные подряд.","{""A"":""искусственный"",""B"":""расчётливый"",""C"":""коллекционный"",""D"":""гостиница"",""E"":""поддержанный""}","A,C,E",,2,medium,Орфография согласных,Удвоенные согласные на стыке морфем и в заимствованных словах,Выбрать слова с удвоенной согласной,"^[A-E](,[A-E]){1,4}$",one_error_half_credit,conservative,,"Удвоенные согласные есть в словах искусственный, коллекционный, поддержанный. В словах расчётливый и гостиница удвоения нет.",passed,original_authoring_qa_2026-07-10
A4,A,4,multi_select_five,letter_set_csv,"Укажите слова, в которых на месте пропуска пишется буква Е.","{""A"":""постро..нный"",""B"":""бор..шься"",""C"":""закле..нный"",""D"":""вид..мый"",""E"":""рассе..вший""}","A,B,C",,2,medium,Орфография форм,Суффиксы причастий и личные окончания глаголов,Выбрать формы с буквой Е,"^[A-E](,[A-E]){1,4}$",one_error_half_credit,conservative,,"Правильно: построенный, борешься, заклеенный. В остальных формах: видимый, рассеявший.",passed,original_authoring_qa_2026-07-10
A5,A,5,multi_select_five,letter_set_csv,"Прочитайте предложение. Укажите позиции, в которых пишется частица НИ.

Как (1) старался Андрей закончить работу до темноты, он всё же (2) успел проверить расчёты, (3) разу не отвлёкся, (4) с кем не спорил и (5) отказался от помощи.","{""A"":""(1)"",""B"":""(2)"",""C"":""(3)"",""D"":""(4)"",""E"":""(5)""}","A,C,D",,2,medium,НЕ и НИ,НИ в уступительных конструкциях и усилительном отрицании,Определить позиции частицы НИ,"^[A-E](,[A-E]){1,4}$",one_error_half_credit,conservative,,"Пишется: как ни старался, ни разу, ни с кем. В остальных позициях: не успел, не отказался.",passed,original_authoring_qa_2026-07-10
A6,A,6,multi_select_five,letter_set_csv,"Укажите варианты, в которых НЕ со словом пишется раздельно.","{""A"":""далеко (не)простое решение"",""B"":""(не)законченная вовремя работа"",""C"":""(не)высокий, а низкий забор"",""D"":""(не)долюбливать соседа"",""E"":""(не)брежный почерк""}","A,B,C",,2,medium,НЕ со словами,"Раздельное и слитное написание НЕ с прилагательными, причастиями и глаголами",Выбрать случаи раздельного написания,"^[A-E](,[A-E]){1,4}$",one_error_half_credit,conservative,,"Раздельно: далеко не простое; не законченная вовремя работа, где зависимое слово обозначает время действия; не высокий, а низкий. Слитно: недолюбливать, небрежный.",passed,original_authoring_qa_2026-07-10
A7,A,7,multi_select_five,letter_set_csv,"Укажите слова, которые пишутся через дефис.","{""A"":""(по)весеннему"",""B"":""(пол)апельсина"",""C"":""(полу)остров"",""D"":""(железно)дорожный"",""E"":""(мало)известный""}","A,B",,2,easy,Дефисное написание,Наречия с по- и слова с пол-/полу-,Выбрать дефисные написания,"^[A-E](,[A-E]){1,4}$",one_error_half_credit,conservative,,По-весеннему пишется через дефис по модели по-...-ему. Пол-апельсина пишется через дефис перед гласной. Остальные слова пишутся слитно.,passed,original_authoring_qa_2026-07-10
A8,A,8,multi_select_five,letter_set_csv,"Укажите предложения, в которых сочетание в скобках пишется слитно.","{""A"":""Он повторил (то)же правило, что и вчера."",""B"":""Мы задержались, (за)то закончили отчёт."",""C"":""Я пришёл, (что)бы обсудить результаты."",""D"":""Мы действовали (по)тому плану, который утвердили утром."",""E"":""В комнате было тихо, (от)того разговор слышался особенно отчётливо.""}","B,C,E",,2,medium,Слитное и раздельное написание,"Союзы, местоименные сочетания и наречия-омонимы",Выбрать слитные написания,"^[A-E](,[A-E]){1,4}$",one_error_half_credit,conservative,,"Слитно пишутся союзы зато, чтобы и наречие оттого со значением причины. Раздельно: то же правило, по тому плану.",passed,original_authoring_qa_2026-07-10
A9,A,9,multi_select_five,letter_set_csv,"Укажите предложения, в которых на месте знака □ необходимо поставить тире.","{""A"":""Главная цель экспедиции □ собрать образцы грунта."",""B"":""Лес □ словно огромный зелёный шатёр."",""C"":""Пятью пять □ двадцать пять."",""D"":""Самое трудное □ это начать."",""E"":""Его голос □ тихий и ровный.""}","A,C,D",,2,medium,Пунктуация,Тире между подлежащим и именной частью сказуемого,Выбрать предложения с обязательным тире,"^[A-E](,[A-E]){1,4}$",one_error_half_credit,conservative,,"Тире требуется в конструкциях цель — собрать, пятью пять — двадцать пять, самое трудное — это начать. Перед словно тире обычно не ставится; в E нейтральная норма не требует тире.",passed,original_authoring_qa_2026-07-10
A10,A,10,multi_select_five,letter_set_csv,"Укажите предложения, в которых выделенную конструкцию необходимо обособить запятыми.","{""A"":""*Озарённая утренним солнцем* площадь быстро наполнилась людьми."",""B"":""Площадь *озарённая утренним солнцем* быстро наполнилась людьми."",""C"":""*Смеясь* дети выбежали во двор."",""D"":""Мы вошли в дом *построенный ещё до войны*."",""E"":""Он отвечал *тихо и уверенно*.""}","B,C,D",,2,medium,Обособление,Причастные и деепричастные обороты,Выбрать конструкции с обязательным обособлением,"^[A-E](,[A-E]){1,4}$",one_error_half_credit,conservative,,Причастные обороты после определяемого слова в B и D обособляются. Деепричастие смеясь в C обособляется. В A определение перед существительным не обособляется. В E однородные наречия не обособляются.,corrected,original_authoring_qa_2026-07-10
A11,A,11,multi_select_five,letter_set_csv,"Укажите предложения, в которых выделенное слово или сочетание является вводным и должно обособляться.","{""A"":""*По словам синоптика* вечером похолодает."",""B"":""Решение задачи оказалось *очевидно*."",""C"":""Он *вероятно* задержится до утра."",""D"":""*Однако* вечером ветер стих."",""E"":""*К счастью* поезд отправился вовремя.""}","A,C,E",,2,medium,Вводные слова,"Источник сообщения, степень уверенности и эмоциональная оценка",Выбрать вводные единицы,"^[A-E](,[A-E]){1,4}$",one_error_half_credit,conservative,,"По словам синоптика указывает на источник сообщения, вероятно выражает степень уверенности, к счастью передаёт оценку. Очевидно в B входит в сказуемое. Однако в начале предложения является союзом.",passed,original_authoring_qa_2026-07-10
A12,A,12,multi_select_five,letter_set_csv,"Укажите предложения, в которых на месте знака □ между однородными членами необходимо поставить запятую.","{""A"":""В саду росли яблони□ груши□ сливы."",""B"":""В комнате было светло□ и прохладно."",""C"":""Он то ускорял шаг□ то внезапно останавливался."",""D"":""Мы взяли с собой карту□ и компас."",""E"":""Он вошёл в кабинет□ и сразу сел.""}","A,C",,2,medium,Однородные члены,Бессоюзное перечисление и повторяющиеся союзы,Выбрать предложения с запятой,"^[A-E](,[A-E]){1,4}$",one_error_half_credit,conservative,,В A три однородных члена перечислены без союзов. В C повторяется союз то... то. При одиночном союзе и запятая не ставится.,passed,original_authoring_qa_2026-07-10
A13,A,13,multi_select_five,letter_set_csv,"Укажите предложения, в которых знаки препинания расставлены правильно.","{""A"":""Когда стемнело, мы зажгли фонари."",""B"":""Я знал, что поезд опоздает, и поэтому не спешил."",""C"":""Ветер усилился и, волны стали выше."",""D"":""Дом, который стоял у реки был пуст."",""E"":""Солнце скрылось за тучами, но дождь так и не начался.""}","A,B,E",,2,medium,Пунктуация сложного предложения,"СПП, ССП и границы придаточной части",Выбрать правильно оформленные предложения,"^[A-E](,[A-E]){1,4}$",one_error_half_credit,conservative,,"В A отделено придаточное времени. В B запятая закрывает придаточную часть. В E запятая стоит перед но. В C запятая ошибочна, в D пропущена запятая после придаточного.",passed,original_authoring_qa_2026-07-10
A14,A,14,multi_select_five,letter_set_csv,"Укажите предложения, в которых знаки препинания расставлены правильно.","{""A"":""Я оглянулся: за окном уже светало."",""B"":""Сделаешь шаг вперёд — дорога станет понятнее."",""C"":""Когда мы вышли на улицу: дождь уже закончился."",""D"":""Он сказал: что вернётся к вечеру."",""E"":""Я хотел возразить, но понял: спор продолжать бессмысленно.""}","A,B,E",,2,medium-hard,Сложная пунктуация,Двоеточие и тире в бессоюзных и комбинированных конструкциях,Выбрать правильно оформленные предложения,"^[A-E](,[A-E]){1,4}$",one_error_half_credit,conservative,,В A вторая часть поясняет увиденное; в B тире передаёт условно-следственное отношение; в E раскрывается содержание мысли. В C и D двоеточие разрывает главную и придаточную части.,passed,original_authoring_qa_2026-07-10
A15,A,15,multi_select_five,letter_set_csv,"Укажите примеры, в которых чужая речь оформлена правильно.","{""A"":""«Я вернусь завтра», — сказал Андрей."",""B"":""Марина спросила: «Вы уже закончили работу?»"",""C"":""«Поторопись! — крикнул проводник. — Поезд отправляется»."",""D"":""Он сказал, «Я всё проверил»."",""E"":""«Где вы были»? — спросила она.""}","A,B,C",,2,medium,Чужая речь,Прямая речь до и после слов автора,Выбрать нормативное оформление,"^[A-E](,[A-E]){1,4}$",one_error_half_credit,conservative,,"В A, B и C прямая речь оформлена нормативно. В D требуется двоеточие. В E вопросительный знак должен стоять внутри кавычек.",passed,original_authoring_qa_2026-07-10
A16,A,16,multi_select_five,letter_set_csv,"Укажите предложения, в которых перед КАК необходимо поставить запятую.","{""A"":""Он работал как переводчик."",""B"":""Снег искрился на солнце как россыпь стекла."",""C"":""Пётр известен как опытный врач."",""D"":""Её голос звенел как маленький колокольчик."",""E"":""Он воспринял замечание как полезный совет.""}","B,D",,2,medium,Обороты с как,Сравнительный оборот и значение роли,Выбрать предложения с обязательной запятой,"^[A-E](,[A-E]){1,4}$",one_error_half_credit,conservative,,"В B и D обороты имеют значение свободного сравнения. В A и C как обозначает роль или качество, в E оборот входит в смысл сказуемого.",passed,original_authoring_qa_2026-07-10
A17,A,17,multi_select_five,letter_set_csv,Какие утверждения соответствуют содержанию текста?,"{""A"":""Старый резервуар продолжал использоваться по первоначальному назначению."",""B"":""Чтобы улучшить обзор, исследователи полностью перестроили здание."",""C"":""Уже в первую весну после обустройства площадки там появились птицы нескольких видов."",""D"":""Станцией могут пользоваться только профессиональные биологи."",""E"":""Опыт станции показывает, что небольшое переосмысленное городское пространство может быть полезно и природе, и обучению.""}","C,E",,2,medium,Понимание текста,Извлечение фактов и обобщённого смысла,Выбрать верные утверждения,"^[A-E](,[A-E]){1,4}$",one_error_half_credit,conservative,text_1,В предложении 6 сказано о птицах нескольких видов уже первой весной. Предложения 8–9 подтверждают пользу пространства для природы и обучения.,passed,original_authoring_qa_2026-07-10
A18,A,18,multi_select_five,letter_set_csv,Какие характеристики соответствуют тексту?,"{""A"":""Результаты наблюдений изложены доступно для неспециалиста."",""B"":""Текст представляет собой инструкцию с обязательной последовательностью действий."",""C"":""В тексте сочетаются повествование и рассуждение."",""D"":""Главная задача текста — эмоционально изобразить один мгновенный пейзаж."",""E"":""Автор доказывает, что любой городской природный проект требует полной перестройки здания.""}","A,C",,2,medium,Текстоведение,Характер изложения и типы речи,Выбрать верные характеристики,"^[A-E](,[A-E]){1,4}$",one_error_half_credit,conservative,text_1,Текст доступно сообщает о наблюдениях и выводах. В нём есть последовательность событий и рассуждение с общим выводом.,corrected,original_authoring_qa_2026-07-10
B1,B,1,short_answer_token,digits,"Какие средства связи используются между предложениями 7 и 8?
1) личное местоимение
2) сочинительный союз в начале предложения
3) указательное местоименное наречие
4) однокоренные слова
5) лексический повтор

Запишите номера выбранных средств подряд без пробелов и знаков препинания. Порядок цифр не имеет значения.",,,"[""35"",""53""]",2,medium,Средства связи предложений,Местоименное наречие и лексический повтор,Определить средства связи,^[1-5]{2}$,none,conservative,text_1,"Предложение 8 начинается словом поэтому, которое выражает следствие и является указательным местоименным наречием. Слова птицам и птиц образуют лексический повтор.",reconstructed_and_corrected,original_authoring_qa_2026-07-10
B2,B,2,short_answer_token,word,"Из предложения 9 выпишите слово со значением «осмыслить заново, придать новое назначение или понимание».",,,"[""переосмыслить""]",2,easy-medium,Лексика текста,Контекстное значение слова,Найти слово по толкованию,^[А-Яа-яЁё-]+$,none,conservative,text_1,Требуемое значение имеет глагол переосмыслить.,reconstructed,original_authoring_qa_2026-07-10
